id,name,address,cantidad_de_sucursales,frecuencia_compra,lat,lng,url_google_maps,stage_name,Etapa del ciclo de vida,Propietario del registro de empresa,Estado del lead,Número de veces contactado,Unnamed: 0
10178983541,Mancini - Farmacia Mancini,Av. Montes de Oca 1229,,,-34.64231,-58.37411909999999,https://maps.google.com/?cid=14724516677318698648,Active WinBack,1058023784,512816524.0,Negocio Positivo,,
31252124072,Farmacia Nueva Tacuari,Avenida independencia 980,1.0,Daria,-34.6177692,-58.3796192,https://maps.app.goo.gl/Md443YXWBjvyw72M8,Active clients,customer,542619254.0,Negocio Positivo,,
30680417288,Farmacia Durand,"Parque Centenario, Av. Díaz Vélez 5101, C1405 Cdad. Autónoma de Buenos Aires",1.0,Daria,-34.6085597,-58.43893910000001,https://maps.app.goo.gl/x7oCXdBBp8KyARrD7,Active clients,customer,542619254.0,Reunion Agendada,,
15550424068,Proteger Salud - Alvear,Alvear 2800,10.0,Daria,-34.83608,-58.44266,,Active clients,customer,410741428.0,CADENA No Contactar,,
22971398279,Farmacia Disval - Farmacia Disval,"Comuna 4, Alberto Einstein 253, Ciudad Autónoma de Buenos Aires, Argentina",1.0,,-34.6486787,-58.41362770000001,,First purchase,opportunity,234179475.0,Negocio Positivo,,
14915424043,Farmafe - Fátima,CORONEL DIAZ 2179,7.0,Daria,-34.5868229,-58.408244,https://maps.google.com/?cid=14555017977787499374,Lost,opportunity,512816524.0,CADENA No Contactar,,
14915377747,Farmacia Cussati - Farmacia Cussati,FCO. BEIRO 4402,2.0,,-34.6067216,-58.5127423,https://maps.google.com/?cid=8452749397518107579,Lost,opportunity,78617315.0,Lost,,
14915445620,Farmathenea - Farmathenea 2,Sarmiento 3499,2.0,,-31.40565399999999,-64.15039829999999,,Lost,opportunity,410741428.0,CADENA No Contactar,,
14915454293,Farmalife - La porteña de Almagro,Av. Corrientes 4025,60.0,,-34.6029793,-58.4207054,https://maps.google.com/?cid=9714787680985992252,Lost,opportunity,410741428.0,CADENA No Contactar,,
15125386599,Farmacia La central - Farmacia La central,Av san Martin 2802,,,-34.603055,-58.46500100000001,,Lost,opportunity,542619254.0,Lost,,
14915505830,Santa Ana - Saavedra,Garcia del Rio 4097,4.0,,-34.5544597,-58.48571729999999,,Lost,opportunity,238285928.0,CADENA No Contactar,,
14915472423,Farmacia Mares - Mares,AV GRALJOSE DE SAN MARTIN 2948-50,,,-34.532516,-58.501092,https://maps.google.com/?cid=6857270330260483779,Lost,opportunity,410741426.0,Lost,,
10178920228,La Franco - E-commerce La Franco,Bonpland 1643,,,-34.5838679,-58.43779600000001,,Lost,opportunity,410741428.0,CADENA No Contactar,,
10179020601,Daneri - Mafei,Av. Alvarez Jonte 3202,,,-34.610099,-58.488046,,Lost,opportunity,410741428.0,Lost,,
18030297663,Farmacia Rawson - Farmacia Rawson,"Espinosa 1632, Ciudad Autónoma de Buenos Aires, Argentina",1.0,,-34.6052523,-58.4565578,,Lost,opportunity,542619254.0,Lost,,
18267747700,Farmacia Johefsa - Farmacia Johefsa,"Av. Pantaleón Gómez 319, Formosa, Argentina",,,-26.1833406,-58.1859444,,Lost,opportunity,410741428.0,Lost,,
20995691185,Grupo Superi - Superí,"La Pampa 3400, Buenos Aires, Argentina",,,-34.5706989,-58.463914,,Lost,opportunity,410741428.0,Lost,,
14915454135,SUPER NUEVA COLON S.R.L. - Farmacia Gade,AV. SANTA FE 4288	,2.0,,-34.5581278,-58.4604592,https://maps.google.com/?cid=12845682238646418563,Lost,opportunity,512816524.0,CADENA No Contactar,,
14915402650,Anika - Paternal,AV.SAN MARTIN 2711,4.0,,-34.602953,-58.463873,https://maps.google.com/?cid=12351221986548491805,Onboarding,opportunity,542619254.0,CADENA No Contactar,,
12076621318,Scienza - Pueyrredon,Av Pueyrredon 1460,3.0,,-34.5937558,-58.4022097,https://maps.google.com/?cid=8145776894316287986,Potential Return,opportunity,410741428.0,CADENA No Contactar,,
14915445589,TKL - San Agustín,Las Heras 2699,,,-38.01192,-57.54443999999999,,Potential Return,opportunity,512816524.0,CADENA No Contactar,,
12076623254,Scienza - Pellegrini,Carlos Pellegrini 163,3.0,,-34.6065697,-58.3806646,https://maps.google.com/?cid=10345221588430082318,Potential Return,opportunity,410741428.0,CADENA No Contactar,,
11674906721,Más Farmacia - monroe,Crisologo Larrade 3701,3.0,,-34.5553488,-58.4799635,,Potential Return,opportunity,410741428.0,CADENA No Contactar,,
10389371976,Farma Belen - Murguiondo,MURGUIONDO 4064,9.0,,-34.6758656,-58.4768874,,Potential Return,opportunity,234179475.0,CADENA No Contactar,,
14915476613,TKL González - González,Av. Rivadavia 5415,,,-34.6204967,-58.4417644,https://maps.google.com/?cid=17296745280976924752,Potential Return,opportunity,512816524.0,CADENA No Contactar,,
10389371964,Farma Belen - Luro,RIVADAVIA 9626,9.0,,-34.6399494,-58.550161,,Potential Return,opportunity,234179475.0,CADENA No Contactar,,
10389215139,Farma Belen - Chilavert,Chilavert 6364,9.0,,-34.6858358,-58.47520290000001,,Potential Return,opportunity,234179475.0,CADENA No Contactar,,
10389215061,Vital - Muñeira,Adolfo Alsina 2302,2.0,,-34.6130224,-58.39908639999999,,Potential Return,opportunity,410741428.0,CADENA No Contactar,,
14915388287,TKL - Naveira,av.las heras 2318,,,-34.5872875,-58.3976792,https://maps.google.com/?cid=2178646609898128855,Potential Return,opportunity,512816524.0,CADENA No Contactar,,
10389215035,Farmacia Leloir - Farmacia Leloir 1,"Gobernador Marcelino Ugarte 1728, Olivos, Buenos Aires Province, Argentina",2.0,,-34.51458210000001,-58.4921768,,Potential Return,opportunity,512816524.0,Churn,,
10178939271,Angelus - Angelus,Av. Crámer 2101,,,-34.5644918,-58.4611834,,Potential Return,opportunity,410741428.0,Churn,,
14915484292,TKL - Tekiel,AVENIDA SANTA FE 2399,,,-34.594616,-58.400934,https://maps.google.com/?cid=16002329013756461518,Potential Return,opportunity,512816524.0,CADENA No Contactar,,
